road_name,geometry
긴고랑로46길,"LINESTRING (14148135.375941122 4517468.559087157, 14148177.488104487 4517468.882072168)"
긴고랑로44길,"LINESTRING (14148142.354498778 4517377.733043953, 14148145.76204961 4517333.383713578)"
긴고랑로44길,"LINESTRING (14148135.375941122 4517468.559087157, 14148142.354498778 4517377.733043953)"
긴고랑로42길,"LINESTRING (14147933.887662785 4517295.566939036, 14147934.87840625 4517266.709447734)"
긴고랑로41길,"LINESTRING (14147883.270690322 4517280.625629467, 14147893.723590506 4517339.365882041)"
긴고랑로35길,"LINESTRING (14147417.795218274 4517374.571890837, 14147413.001501465 4517405.787841515)"
용마산로10길,"LINESTRING (14147355.533973988 4517527.9947942905, 14147355.894602688 4517528.044668817)"
용마산로14길,"LINESTRING (14147355.137188636 4517618.862543251, 14147379.79489736 4517621.96404717)"
용마산로16길,"LINESTRING (14147354.557010239 4517751.725050689, 14147359.74625707 4517752.466760046)"
용마산로28길,"LINESTRING (14147224.956494102 4518563.659753404, 14147259.914937725 4518551.569824383)"
능동로3다길,"LINESTRING (14144668.196816973 4513609.712130345, 14144671.73677678 4513613.193468075, 14144717.255316565 4513656.429533126, 14144726.483385643 4513664.830773146)"
뚝섬로22길,"LINESTRING (14144346.483488584 4513815.407833605, 14144347.794078024 4513815.8416335685)"
뚝섬로22길,"LINESTRING (14144347.794078024 4513815.8416335685, 14144351.788186295 4513817.163667737)"
뚝섬로22길,"LINESTRING (14144347.794078024 4513815.8416335685, 14144346.483488584 4513815.407833605)"
뚝섬로22길,"LINESTRING (14144351.788186295 4513817.163667737, 14144347.794078024 4513815.8416335685)"
능동로3다길,"LINESTRING (14144726.483385643 4513664.830773146, 14144717.255316565 4513656.429533126, 14144671.73677678 4513613.193468075, 14144668.196816973 4513609.712130345)"
자양로54길,"LINESTRING (14148060.179625088 4516640.8935926985, 14148083.441320471 4516618.060177525)"
자양로54길,"LINESTRING (14148083.441320471 4516618.060177525, 14148109.060013497 4516592.913160317)"
자양로44길,"LINESTRING (14148196.557133261 4516412.633952584, 14148221.28140439 4516365.52941407)"
자양로54길,"LINESTRING (14148196.557133261 4516412.633952584, 14148189.332498308 4516435.240646083)"
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14148091.237763021 4516780.384925704)"
영화사로13길,"LINESTRING (14147994.40093798 4516708.209794051, 14148043.025173254 4516744.4507652)"
영화사로9길,"LINESTRING (14148006.779665357 4516970.359553623, 14148022.609296946 4516992.700650483)"
영화사로9길,"LINESTRING (14148006.779665357 4516970.359553623, 14147988.160687502 4516966.958702932)"
영화사로9가길,"LINESTRING (14148006.779665357 4516970.359553623, 14148019.868452752 4516870.917696519)"
영화사로9가길,"LINESTRING (14148019.868452752 4516870.917696519, 14148020.360643232 4516867.178287065)"
영화사로15길,"LINESTRING (14148112.677629717 4516744.752794759, 14148115.142584762 4516746.53570644)"
영화사로15길,"LINESTRING (14148115.142584762 4516746.53570644, 14148116.551815229 4516747.55500838)"
영화사로15길,"LINESTRING (14148032.472203832 4516686.739894731, 14148112.677629717 4516744.752794759)"
영화사로9가길,"LINESTRING (14147988.67312453 4516847.951028962, 14148020.360643232 4516867.178287065)"
천호대로137길,"LINESTRING (14147974.834797539 4516237.900639788, 14147976.200201236 4516232.315727023)"
천호대로137길,"LINESTRING (14147950.663510047 4516336.768492773, 14147974.834797539 4516237.900639788)"
자양로50가길,"LINESTRING (14147990.5874815 4516403.330704872, 14148030.546376642 4516469.951142589)"
자양로50가길,"LINESTRING (14147950.663510047 4516336.768492773, 14147967.254251566 4516364.428978832)"
천호대로137길,"LINESTRING (14147991.81335733 4516118.587713073, 14147988.75718339 4516111.401381905)"
천호대로137길,"LINESTRING (14147991.566599153 4516175.905348965, 14147976.200201236 4516232.315727023)"
자양로46길,"LINESTRING (14147991.69879757 4516145.197954608, 14147865.409600768 4516206.263926048)"
용마산로8길,"LINESTRING (14147480.539036531 4517401.434592359, 14147482.127151076 4517401.450216604)"
용마산로8길,"LINESTRING (14147480.539036531 4517401.434592359, 14147413.001501465 4517405.787841515)"
용마산로8가길,"LINESTRING (14147480.539036531 4517401.434592359, 14147467.692767292 4517484.385364461)"
용마산로8가길,"LINESTRING (14147453.121045945 4517583.472166495, 14147458.75381218 4517546.019604223)"
용마산로8가길,"LINESTRING (14147453.121045945 4517583.472166495, 14147452.419733156 4517588.134437099)"
용마산로8나길,"LINESTRING (14147453.121045945 4517583.472166495, 14147481.38279712 4517572.387442991)"
용마산로8마길,"LINESTRING (14147688.874054981 4517628.911730311, 14147687.15914339 4517635.599840401, 14147705.081581408 4517640.978330157, 14147702.52123312 4517665.553710172, 14147695.229806472 4517671.437766864, 14147687.070087796 4517708.174577521)"
용마산로8마길,"LINESTRING (14147687.070087796 4517708.174577521, 14147695.229806472 4517671.437766864, 14147702.52123312 4517665.553710172, 14147705.081581408 4517640.978330157, 14147687.15914339 4517635.599840401, 14147688.874054981 4517628.911730311)"
용마산로8길,"LINESTRING (14147413.001501465 4517405.787841515, 14147480.539036531 4517401.434592359)"
용마산로8길,"LINESTRING (14147413.001501465 4517405.787841515, 14147373.2938391 4517402.824823343)"
긴고랑로35길,"LINESTRING (14147413.001501465 4517405.787841515, 14147417.795218274 4517374.571890837)"
긴고랑로35길,"LINESTRING (14147413.001501465 4517405.787841515, 14147398.364237785 4517501.0612931065)"
긴고랑로35길,"LINESTRING (14147398.364237785 4517501.0612931065, 14147393.420403033 4517533.240545411)"
용마산로8길,"LINESTRING (14147356.086056072 4517401.559328138, 14147373.2938391 4517402.824823343)"
용마산로34길,"LINESTRING (14147417.944086855 4518869.733785223, 14147375.598152557 4518866.08216196)"
용마산로36길,"LINESTRING (14147417.944086855 4518869.733785223, 14147447.065265646 4518767.320280865)"
용마산로32길,"LINESTRING (14147224.07622581 4518764.641051771, 14147242.905319532 4518764.84843687)"
용마산로28길,"LINESTRING (14147564.151106061 4518479.396517666, 14147556.169498574 4518456.701142144, 14147518.799545513 4518464.76248895)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147350.131192723 4518765.09957023)"
용마산로32길,"LINESTRING (14147350.131192723 4518765.09957023, 14147242.905319532 4518764.84843687)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147438.722666485 4518767.070487148)"
용마산로32길,"LINESTRING (14147438.722666485 4518767.070487148, 14147447.065265646 4518767.320280865)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147374.842469145 4518766.789478598)"
용마산로32길,"LINESTRING (14147374.842469145 4518766.789478598, 14147375.598152557 4518866.08216196)"
용마산로28다길,"LINESTRING (14147569.516705522 4518552.847853953, 14147548.644300995 4518544.014004392, 14147515.549016384 4518540.671468665, 14147486.784059964 4518536.331791519, 14147477.204599788 4518531.751435244)"
용마산로28다길,"LINESTRING (14147477.204599788 4518531.751435244, 14147468.66124686 4518527.666486879, 14147450.53843376 4518518.607950803)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147417.944086855 4518869.733785223)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147349.688098058 4518866.539579853)"
용마산로32길,"LINESTRING (14147374.842469145 4518766.789478598, 14147374.830048071 4518765.1574173365)"
용마산로32길,"LINESTRING (14147375.598152557 4518866.08216196, 14147374.842469145 4518766.789478598)"
용마산로36길,"LINESTRING (14147476.638558596 4518661.702946048, 14147476.687382147 4518661.789915641, 14147476.6374042 4518661.967964735)"
용마산로36길,"MULTILINESTRING ((14147472.011963535 4518653.461573078, 14147476.638558596 4518661.702946048), (14147476.6374042 4518661.967964735, 14147447.125007035 4518767.107448987))"
