road_name,geometry
긴고랑로41길,"LINESTRING (14147883.270690322 4517280.625629467, 14147893.723590506 4517339.365882041)"
용마산로30길,"LINESTRING (14147224.588028895 4518647.788515783, 14147244.831146723 4518669.584576154)"
용마산로28길,"LINESTRING (14147224.956494102 4518563.659753404, 14147259.914937725 4518551.569824383)"
자양로50길,"LINESTRING (14148411.225639308 4516536.22716768, 14148414.999370044 4516540.776639036, 14148417.71556562 4516544.048327993)"
자양로50길,"LINESTRING (14148368.320466915 4516486.020759442, 14148337.476476656 4516449.928002317, 14148242.552878363 4516424.806643458)"
자양로50길,"LINESTRING (14148374.07216082 4516492.751227498, 14148368.320466915 4516486.020759442)"
자양로50길,"LINESTRING (14148242.552878363 4516424.806643458, 14148196.557133261 4516412.633952584)"
자양로50길,"LINESTRING (14148411.225639308 4516536.22716768, 14148374.07216082 4516492.751227498)"
자양로50길,"LINESTRING (14148116.696419949 4516384.634796739, 14148115.817106588 4516384.3265095875)"
자양로50길,"LINESTRING (14148196.557133261 4516412.633952584, 14148116.696419949 4516384.634796739)"
자양로44길,"LINESTRING (14148196.557133261 4516412.633952584, 14148221.28140439 4516365.52941407)"
자양로50길,"LINESTRING (14148242.552878363 4516424.806643458, 14148337.476476656 4516449.928002317, 14148368.320466915 4516486.020759442)"
자양로50길,"LINESTRING (14148368.320466915 4516486.020759442, 14148374.07216082 4516492.751227498)"
자양로50길,"LINESTRING (14148196.557133261 4516412.633952584, 14148242.552878363 4516424.806643458)"
자양로50길,"LINESTRING (14148374.07216082 4516492.751227498, 14148411.225639308 4516536.22716768)"
영화사로13길,"LINESTRING (14148043.025173254 4516744.4507652, 14148091.237763021 4516780.384925704)"
영화사로13길,"LINESTRING (14147994.40093798 4516708.209794051, 14148043.025173254 4516744.4507652)"
영화사로9가길,"LINESTRING (14148006.779665357 4516970.359553623, 14148019.868452752 4516870.917696519)"
영화사로9가길,"LINESTRING (14148019.868452752 4516870.917696519, 14148020.360643232 4516867.178287065)"
영화사로9가길,"LINESTRING (14147988.67312453 4516847.951028962, 14148020.360643232 4516867.178287065)"
자양로50길,"LINESTRING (14147864.923248634 4516318.91861448, 14147950.663510047 4516336.768492773)"
자양로50길,"LINESTRING (14147950.663510047 4516336.768492773, 14147988.879491236 4516344.7018345585)"
자양로50길,"LINESTRING (14147950.663510047 4516336.768492773, 14147864.923248634 4516318.91861448)"
천호대로137길,"LINESTRING (14147974.834797539 4516237.900639788, 14147976.200201236 4516232.315727023)"
천호대로137길,"LINESTRING (14147950.663510047 4516336.768492773, 14147974.834797539 4516237.900639788)"
천호대로137길,"LINESTRING (14147991.81335733 4516118.587713073, 14147988.75718339 4516111.401381905)"
천호대로137길,"LINESTRING (14147991.566599153 4516175.905348965, 14147976.200201236 4516232.315727023)"
용마산로8가길,"LINESTRING (14147480.539036531 4517401.434592359, 14147467.692767292 4517484.385364461)"
용마산로8가길,"LINESTRING (14147453.121045945 4517583.472166495, 14147458.75381218 4517546.019604223)"
용마산로8가길,"LINESTRING (14147453.121045945 4517583.472166495, 14147452.419733156 4517588.134437099)"
용마산로22길,"LINESTRING (14147479.258862384 4517914.793454163, 14147448.467891231 4517927.095501985, 14147440.441755945 4517930.311450663, 14147426.114937479 4517970.925175793, 14147415.038648145 4517972.24526494)"
용마산로34길,"LINESTRING (14147417.944086855 4518869.733785223, 14147375.598152557 4518866.08216196)"
용마산로36길,"LINESTRING (14147417.944086855 4518869.733785223, 14147447.065265646 4518767.320280865)"
용마산로32길,"LINESTRING (14147224.07622581 4518764.641051771, 14147242.905319532 4518764.84843687)"
용마산로30길,"LINESTRING (14147564.151106061 4518479.396517666, 14147551.215781234 4518464.776533114, 14147535.18577456 4518466.855069538, 14147518.799545513 4518464.76248895)"
용마산로28길,"LINESTRING (14147564.151106061 4518479.396517666, 14147556.169498574 4518456.701142144, 14147518.799545513 4518464.76248895)"
용마산로30길,"LINESTRING (14147564.151106061 4518479.396517666, 14147568.025024343 4518514.029530902, 14147568.041626884 4518514.459782862)"
용마산로30길,"LINESTRING (14147568.041626884 4518514.459782862, 14147568.704073237 4518531.62696558)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147350.131192723 4518765.09957023)"
용마산로32길,"LINESTRING (14147350.131192723 4518765.09957023, 14147242.905319532 4518764.84843687)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147438.722666485 4518767.070487148)"
용마산로32길,"LINESTRING (14147438.722666485 4518767.070487148, 14147447.065265646 4518767.320280865)"
용마산로30길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147379.995272443 4518672.182797616)"
용마산로32길,"LINESTRING (14147374.830048071 4518765.1574173365, 14147374.842469145 4518766.789478598)"
용마산로32길,"LINESTRING (14147374.842469145 4518766.789478598, 14147375.598152557 4518866.08216196)"
용마산로30길,"LINESTRING (14147569.516705522 4518552.847853953, 14147568.704073237 4518531.62696558)"
용마산로30길,"LINESTRING (14147487.720525948 4518640.695910915, 14147482.041849656 4518645.40008086, 14147476.69083821 4518649.70094097)"
용마산로30길,"LINESTRING (14147569.516705522 4518552.847853953, 14147550.113718275 4518576.737204683, 14147519.06671229 4518603.014149061, 14147513.389418261 4518619.432006176, 14147487.720525948 4518640.695910915)"
용마산로30길,"LINESTRING (14147476.69083821 4518649.70094097, 14147472.011963535 4518653.461573078)"
용마산로30길,"LINESTRING (14147379.995272443 4518672.182797616, 14147374.830048071 4518765.1574173365)"
용마산로30길,"LINESTRING (14147379.995272443 4518672.182797616, 14147350.539517663 4518671.616578038)"
용마산로30길,"LINESTRING (14147350.539517663 4518671.616578038, 14147244.831146723 4518669.584576154)"
용마산로30길,"LINESTRING (14147379.995272443 4518672.182797616, 14147454.334428394 4518656.059790535, 14147472.011963535 4518653.461573078)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147417.944086855 4518869.733785223)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147349.688098058 4518866.539579853)"
용마산로32길,"LINESTRING (14147374.842469145 4518766.789478598, 14147374.830048071 4518765.1574173365)"
용마산로32길,"LINESTRING (14147375.598152557 4518866.08216196, 14147374.842469145 4518766.789478598)"
용마산로30길,"LINESTRING (14147476.69083821 4518649.70094097, 14147482.041849656 4518645.40008086, 14147487.720525948 4518640.695910915)"
용마산로30길,"LINESTRING (14147487.720525948 4518640.695910915, 14147513.389418261 4518619.432006176, 14147519.06671229 4518603.014149061, 14147550.113718275 4518576.737204683, 14147569.516705522 4518552.847853953)"
용마산로30길,"LINESTRING (14147472.011963535 4518653.461573078, 14147476.69083821 4518649.70094097)"
용마산로30길,"LINESTRING (14147472.011963535 4518653.461573078, 14147454.334428394 4518656.059790535, 14147379.995272443 4518672.182797616)"
용마산로36길,"LINESTRING (14147476.638558596 4518661.702946048, 14147476.687382147 4518661.789915641, 14147476.6374042 4518661.967964735)"
용마산로36길,"MULTILINESTRING ((14147472.011963535 4518653.461573078, 14147476.638558596 4518661.702946048), (14147476.6374042 4518661.967964735, 14147447.125007035 4518767.107448987))"
용마산로36길,"LINESTRING (14147447.125007035 4518767.107448987, 14147447.065265646 4518767.320280865)"
용마산로32길,"LINESTRING (14147438.722666485 4518767.070487148, 14147374.830048071 4518765.1574173365)"
용마산로32길,"LINESTRING (14147447.065265646 4518767.320280865, 14147438.722666485 4518767.070487148)"
용마산로36길,"LINESTRING (14147447.065265646 4518767.320280865, 14147417.944086855 4518869.733785223)"
용마산로36길,"LINESTRING (14147476.6374042 4518661.967964735, 14147476.687382147 4518661.789915641, 14147476.638558596 4518661.702946048)"
용마산로36길,"MULTILINESTRING ((14147447.125007035 4518767.107448987, 14147476.6374042 4518661.967964735), (14147476.638558596 4518661.702946048, 14147472.011963535 4518653.461573078))"
용마산로36길,"LINESTRING (14147447.065265646 4518767.320280865, 14147447.125007035 4518767.107448987)"
용마산로34길,"LINESTRING (14147349.688098058 4518866.539579853, 14147375.598152557 4518866.08216196)"
용마산로28길,"LINESTRING (14147259.914937725 4518551.569824383, 14147224.956494102 4518563.659753404)"
용마산로28길,"LINESTRING (14147247.824236171 4518513.051087, 14147239.142720744 4518485.393385636)"
용마산로28길,"LINESTRING (14147259.914937725 4518551.569824383, 14147247.824236171 4518513.051087)"
용마산로28길,"LINESTRING (14147351.188522331 4518523.027915208, 14147371.156504877 4518518.818614344)"
용마산로28길,"LINESTRING (14147259.914937725 4518551.569824383, 14147331.649217594 4518527.146849713, 14147351.188522331 4518523.027915208)"
용마산로30길,"LINESTRING (14147518.799545513 4518464.76248895, 14147535.18577456 4518466.855069538, 14147551.215781234 4518464.776533114, 14147564.151106061 4518479.396517666)"
용마산로28길,"LINESTRING (14147518.799545513 4518464.76248895, 14147556.169498574 4518456.701142144, 14147564.151106061 4518479.396517666)"
용마산로28길,"LINESTRING (14147518.799545513 4518464.76248895, 14147477.441229826 4518477.424524485)"
용마산로28길,"LINESTRING (14147477.441229826 4518477.424524485, 14147461.091521489 4518482.4300616905, 14147421.584234204 4518501.670616022, 14147417.643524231 4518503.018860572)"
용마산로22길,"LINESTRING (14147415.038648145 4517972.24526494, 14147395.123591242 4517968.523737452)"
용마산로22길,"LINESTRING (14147415.038648145 4517972.24526494, 14147426.114937479 4517970.925175793, 14147440.441755945 4517930.311450663, 14147448.467891231 4517927.095501985, 14147479.258862384 4517914.793454163)"
용마산로22길,"LINESTRING (14147415.038648145 4518007.449144536, 14147415.038648145 4518009.67126591, 14147412.564493384 4518134.020674199)"
용마산로22길,"LINESTRING (14147415.038648145 4517972.24526494, 14147415.038648145 4518007.449144536)"
용마산로22길,"LINESTRING (14147408.392874546 4518343.913159124, 14147410.048395589 4518260.593531024)"
용마산로22길,"LINESTRING (14147353.635954551 4517962.639509187, 14147395.123591242 4517968.523737452)"
"용마산로22길, 용마산로24길","LINESTRING (14147370.223008301 4518133.834444466, 14147389.277363451 4518007.335842848)"
"용마산로22길, 용마산로24길","LINESTRING (14147389.277363451 4518007.335842848, 14147395.123591242 4517968.523737452)"
용마산로28길,"LINESTRING (14147386.329840627 4518513.661584014, 14147417.643524231 4518503.018860572)"
용마산로28길,"LINESTRING (14147371.156504877 4518518.818614344, 14147386.329840627 4518513.661584014)"
용마산로28길,"LINESTRING (14147371.156504877 4518518.818614344, 14147351.188522331 4518523.027915208)"
